"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Ants.nlogo"
"Evaporation rate experiment"
"12/06/2024 23:13:31:351 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","evaporation-rate","population","diffusion-rate","[step]","ticks","ticks_blue","ticks_sky","ticks_cyan"
"552","25","125","50","2672","2672","2672","1349","244"
"555","25","125","50","2625","2625","2625","1309","248"
"556","25","125","50","2742","2742","2742","1508","266"
"549","25","125","50","2520","2520","2520","1547","324"
"551","25","125","50","3223","3223","3223","1171","309"
"558","25","125","50","2218","2218","2218","973","448"
"559","25","125","50","2542","2542","2542","1262","307"
"560","25","125","50","2628","2628","2628","1581","284"
"557","25","125","50","2965","2965","2965","1066","273"
"561","25","125","50","3144","3144","3144","1435","306"
"563","25","125","50","2609","2609","2609","1448","275"
"562","25","125","50","2286","2286","2286","1485","273"
"565","25","125","50","2312","2312","2312","1401","279"
"566","25","125","50","2949","2949","2949","1512","302"
"569","25","125","50","2449","2449","2449","1447","363"
"564","25","125","50","3149","3149","3149","1662","277"
"568","25","125","50","2844","2844","2844","1725","277"
"570","25","125","50","2671","2671","2671","1334","254"
"567","25","125","50","2379","2379","2379","1280","271"
"571","25","125","50","3225","3225","3225","1399","307"
"572","25","125","50","2533","2533","2533","1469","242"
"573","25","125","50","2882","2882","2882","1486","321"
"574","25","125","50","3272","3272","3272","747","291"
"576","25","125","50","2513","2513","2513","1172","271"
"577","25","125","50","2698","2698","2698","1508","360"
"578","25","125","50","2781","2781","2781","1374","217"
"575","25","125","50","3125","3125","3125","1433","264"
"581","25","125","50","2655","2655","2655","1369","232"
"579","25","125","50","2655","2655","2655","687","249"
"580","25","125","50","3400","3400","3400","1679","255"
